Type_médaille,Date,Athlète,Sexe,Discipline,Épreuve,Pays,Code_pays,Points
Bronze,2024-02-08,Grant FISHER,H,Athletics,"Men's 10,000m",United States,USA,1
Bronze,2024-07-31,Theodoros TSELIDIS,H,Judo,Men -90 kg,Greece,GRE,1
Silver,2024-10-08,Jo-Ane van DYK,F,Athletics,Women's Javelin Throw,South Africa,RSA,2
Silver,2024-09-08,South Africa,H,Athletics,Men's 4 x 100m Relay,South Africa,RSA,2
Gold,2024-03-08,Netherlands,Mixte,Athletics,4 x 400m Relay Mixed,Netherlands,NED,3
Bronze,2024-05-08,Lithuania,H,3x3 Basketball,Men,Lithuania,LTU,1
Silver,2024-10-08,Italy,H,Cycling Track,Men's Madison,Italy,ITA,2
Silver,2024-06-08,Great Britain,H,Cycling Track,Men's Team Sprint,Great Britain,GBR,2
Silver,2024-05-08,New Zealand,F,Cycling Track,Women's Team Sprint,New Zealand,NZL,2
Bronze,2024-09-08,Germany,F,Football,Women,Germany,GER,1
Silver,2024-07-29,China,H,Artistic Gymnastics,Men's Team,China,CHN,2
Silver,2024-01-08,New Zealand,H,Rowing,Men's Four,New Zealand,NZL,2
Silver,2024-02-08,Italy,H,Rowing,Lightweight Men's Double Sculls,Italy,ITA,2
Bronze,2024-07-30,United States,F,Rugby Sevens,Women,United States,USA,1
Gold,2024-07-27,China 1,Mixte,Shooting,10m Air Rifle Mixed Team,China,CHN,3
Bronze,2024-07-30,Australia,H,Swimming,Men's 4 x 200m Freestyle Relay,Australia,AUS,1
Gold,2024-11-08,Serbia,H,Water Polo,Men,Serbia,SRB,3
Bronze,2024-04-08,Daniel WIFFEN,H,Swimming,Men's 1500m Freestyle,Ireland,IRL,1
Gold,2024-03-08,Rhys MC CLENAGHAN,H,Artistic Gymnastics,Men's Pommel Horse,Ireland,IRL,3
Silver,2024-10-08,Akbar DJURAEV,H,Weightlifting,Men's 102kg,Uzbekistan,UZB,2
Gold,2024-10-08,Lasha TALAKHADZE,H,Weightlifting,Men's +102kg,Georgia,GEO,3
Gold,2024-07-08,Soufiane EL BAKKALI,H,Athletics,Men's 3000m Steeplechase,Morocco,MAR,3
Gold,2024-07-08,Erislandy ALVAREZ BORGES,H,Boxing,Men's 63.5kg,Cuba,CUB,3
Gold,2024-09-08,Lazizbek MULLOJONOV,H,Boxing,Men's 92kg,Uzbekistan,UZB,3
Gold,2024-10-08,Razambek Salambekovitch JAMALOV,H,Wrestling,Men's Freestyle 74kg,Uzbekistan,UZB,3
Silver,2024-04-08,Truls MOREGARD,H,Table Tennis,Men's Singles,Sweden,SWE,2
Bronze,2024-01-08,Muzaffarbek TUROBOYEV,H,Judo,Men -100 kg,Uzbekistan,UZB,1
Gold,2024-07-28,Diyora KELDIYOROVA,F,Judo,Women -52 kg,Uzbekistan,UZB,3
Gold,2024-05-08,Kauli VAAST,H,Surfing,Men,France,FRA,3
Bronze,2024-09-08,Natalia KACZMAREK,F,Athletics,Women's 400m,Poland,POL,1
Silver,2024-07-27,Anna HENDERSON,F,Cycling Road,Women's Individual Time Trial,Great Britain,GBR,2
Bronze,2024-10-08,LIN Xiyu Janet,F,Golf,Women's Individual Stroke Play,China,CHN,1
Silver,2024-07-29,HUANG Yuting,F,Shooting,10m Air Rifle Women,China,CHN,2
Bronze,2024-03-08,Paige MADDEN,F,Swimming,Women's 800m Freestyle,United States,USA,1
Silver,2024-08-08,Moesha JOHNSON,F,Marathon Swimming,Women's 10km,Australia,AUS,2
Silver,2024-04-08,Brady ELLISON,H,Archery,Men's Individual,United States,USA,2
Gold,2024-05-08,Valarie ALLMAN,F,Athletics,Women's Discus Throw,United States,USA,3
Silver,2024-07-28,MATSUSHITA Tomoyuki,H,Swimming,Men's 400m Individual Medley,Japan,JPN,2
Bronze,2024-02-08,Zoe CLAESSENS,F,Cycling BMX Racing,Women,Switzerland,SUI,1
Bronze,2024-09-08,van der WE/GREEN,H,Canoe Sprint,Men's Kayak Double 500m,Australia,AUS,1
Bronze,2024-07-29,Canada,H,Diving,Men's Synchronised 10m Platform,Canada,CAN,1
Silver,2024-02-08,Sylvain ANDRE,H,Cycling BMX Racing,Men,France,FRA,2
Bronze,2024-10-08,Rafael ALBA,H,Taekwondo,Men +80kg,Cuba,CUB,1
Silver,2024-07-28,Yannick BOREL,H,Fencing,Men's Épée Individual,France,FRA,2
Bronze,2024-05-08,ZHANG Boheng,H,Artistic Gymnastics,Men's Horizontal Bar,China,CHN,1
Bronze,2024-08-08,Ginevra TADDEUCCI,F,Marathon Swimming,Women's 10km,Italy,ITA,1
Bronze,2024-03-08,Hina HAYATA,F,Table Tennis,Women's Singles,Japan,JPN,1
Silver,2024-07-08,Demeu ZHADRAYEV,H,Wrestling,Men's Greco-Roman 77kg,Kazakhstan,KAZ,2
