Type_médaille,Date,Athlète,Sexe,Discipline,Épreuve,Pays,Code_pays,Points
Gold,2024-11-08,Akhmed TAZHUDINOV,H,Wrestling,Men's Freestyle 97kg,Bahrain,BRN,3
Silver,2024-09-08,Yeison LOPEZ,H,Weightlifting,Men's 89kg,Colombia,COL,2
Bronze,2024-06-08,Sky BROWN,F,Skateboarding,Women's Park,Great Britain,GBR,1
Gold,2024-09-08,Asadkhuja MUYDINKHUJAEV,H,Boxing,Men's 71kg,Uzbekistan,UZB,3
Gold,2024-10-08,Bakhodir JALOLOV,H,Boxing,Men's +92kg,Uzbekistan,UZB,3
Silver,2024-07-31,Miriam BUTKEREIT,F,Judo,Women -70 kg,Germany,GER,2
Gold,2024-07-08,Oleksandr KHYZHNIAK,H,Boxing,Men's 80kg,Ukraine,UKR,3
Bronze,2024-06-08,Buse CAVUSOGLU TOSUN,F,Wrestling,Women's Freestyle 68kg,Türkiye,TUR,1
Bronze,2024-04-08,Iryna GERASHCHENKO,F,Athletics,Women's High Jump,Ukraine,UKR,1
Silver,2024-07-29,Victor LINDGREN,H,Shooting,10m Air Rifle Men,Sweden,SWE,2
Gold,2024-08-08,Ulugbek RASHITOV,H,Taekwondo,Men -68kg,Uzbekistan,UZB,3
Gold,2024-05-08,AN Se Young,F,Badminton,Women's Singles,Korea,KOR,3
Gold,2024-09-08,VARFOLOMEEV Darja,F,Rhythmic Gymnastics,Individual All-Around,Germany,GER,3
Silver,2024-08-08,Weeraphon WICHUMA,H,Weightlifting,Men's 73kg,Thailand,THA,2
Gold,2024-09-08,Marileidy PAULINO,F,Athletics,Women's 400m,Dominican Republic,DOM,3
Bronze,2024-04-08,Harry HEPWORTH,H,Artistic Gymnastics,Men's Vault,Great Britain,GBR,1
Bronze,2024-04-08,Davlat BOLTAEV,H,Boxing,Men's 92kg,Tajikistan,TJK,1
Bronze,2024-08-08,LIANG Yushuai,H,Taekwondo,Men -68kg,China,CHN,1
Gold,2024-07-08,Roje STONA,H,Athletics,Men's Discus Throw,Jamaica,JAM,3
Silver,2024-08-08,WU Peng,H,Sport Climbing,Men's Speed,China,CHN,2
Bronze,2024-09-08,SONG Jiayuan,F,Athletics,Women's Shot Put,China,CHN,1
Bronze,2024-07-08,FENG Ziqi,F,Wrestling,Women's Freestyle 50kg,China,CHN,1
Silver,2024-09-08,NICKA,F,Breaking,B-Girls,Lithuania,LTU,2
Silver,2024-07-08,Nurbek ORALBAY,H,Boxing,Men's 80kg,Kazakhstan,KAZ,2
Bronze,2024-07-28,Mohamed ELSAYED,H,Fencing,Men's Épée Individual,Egypt,EGY,1
Bronze,2024-08-08,Caitlin PARKER,F,Boxing,Women's 75kg,Australia,AUS,1
Silver,2024-09-08,Isaquias QUEIROZ,H,Canoe Sprint,Men's Canoe Single 1000m,Brazil,BRA,2
Gold,2024-05-08,Rebeca ANDRADE,F,Artistic Gymnastics,Women's Floor Exercise,Brazil,BRA,3
Gold,2024-02-08,Beatriz SOUZA,F,Judo,Women +78 kg,Brazil,BRA,3
Bronze,2024-10-08,Georgia BELL,F,Athletics,Women's 1500m,Great Britain,GBR,1
Bronze,2024-03-08,Jade CAREY,F,Artistic Gymnastics,Women's Vault,United States,USA,1
Bronze,2024-03-08,Luuc van OPZEELAND,H,Sailing,Men's Windsurfing,Netherlands,NED,1
Gold,2024-11-08,Sifan HASSAN,F,Athletics,Women's Marathon,Netherlands,NED,3
Bronze,2024-06-08,RI Se Ung,H,Wrestling,Men's Greco-Roman 60kg,DPR Korea,PRK,1
Gold,2024-10-08,Janja GARNBRET,F,Sport Climbing,Women's Boulder & Lead,Slovenia,SLO,3
Bronze,2024-08-08,Hungary,F,Canoe Sprint,Women's Kayak Four 500m,Hungary,HUN,1
Bronze,2024-07-08,Italy,H,Cycling Track,Men's Team Pursuit,Italy,ITA,1
Gold,2024-02-08,China,H,Diving,Men's Synchronised 3m Springboard,China,CHN,3
Bronze,2024-07-29,United States,H,Artistic Gymnastics,Men's Team,United States,USA,1
Bronze,2024-11-08,Spain,H,Handball,Men,Spain,ESP,1
Bronze,2024-10-08,Denmark,F,Handball,Women,Denmark,DEN,1
Silver,2024-09-08,China,F,Hockey,Women,China,CHN,2
Bronze,2024-02-08,Switzerland,H,Rowing,Men's Pair,Switzerland,SUI,1
Silver,2024-07-27,Fiji,H,Rugby Sevens,Men,Fiji,FIJ,2
Silver,2024-05-08,United States,Mixte,Triathlon,Mixed Relay,United States,USA,2
Gold,2024-10-08,China,F,Table Tennis,Women's Team,China,CHN,3
Gold,2024-09-08,ANA PATRICIA/DUDA,F,Beach Volleyball,Women,Brazil,BRA,3
Silver,2024-11-08,United States,F,Volleyball,Women,United States,USA,2
Bronze,2024-06-08,Amin MIRZAZADEH,H,Wrestling,Men's Greco-Roman 130kg,IR Iran,IRI,1
Silver,2024-11-08,Elodie CLOUVEL,F,Modern Pentathlon,Women's Individual,France,FRA,2
Gold,2024-01-08,Giovanni de GENNARO,H,Canoe Slalom,Men's Kayak Single,Italy,ITA,3
Bronze,2024-07-30,Brazil,F,Artistic Gymnastics,Women's Team,Brazil,BRA,1
Gold,2024-04-08,LIU Yang,H,Artistic Gymnastics,Men's Rings,China,CHN,3
Silver,2024-06-08,Yasmani ACOSTA FERNANDEZ,H,Wrestling,Men's Greco-Roman 130kg,Chile,CHI,2
Silver,2024-07-29,XU Jiayu,H,Swimming,Men's 100m Backstroke,China,CHN,2
Gold,2024-07-31,PAN Zhanle,H,Swimming,Men's 100m Freestyle,China,CHN,3
Bronze,2024-08-08,Sam WATSON,H,Sport Climbing,Men's Speed,United States,USA,1
Silver,2024-05-08,Simone BILES,F,Artistic Gymnastics,Women's Floor Exercise,United States,USA,2
Gold,2024-06-08,Miltiadis TENTOGLOU,H,Athletics,Men's Long Jump,Greece,GRE,3
Silver,2024-10-08,Ronald KWEMOI,H,Athletics,Men's 5000m,Kenya,KEN,2
Silver,2024-08-08,Nahid KIYANICHANDEH,F,Taekwondo,Women -57kg,IR Iran,IRI,2
Silver,2024-07-29,Sara BALZER,F,Fencing,Women's Sabre Individual,France,FRA,2
Silver,2024-03-08,Leo NEUGEBAUER,H,Athletics,Men's Decathlon,Germany,GER,2
Bronze,2024-04-08,Gregoria Mariska TUNJUNG,F,Badminton,Women's Singles,Indonesia,INA,1
Bronze,2024-09-08,Aman AMAN,H,Wrestling,Men's Freestyle 57kg,India,IND,1
Silver,2024-05-08,Angel BARAJAS,H,Artistic Gymnastics,Men's Horizontal Bar,Colombia,COL,2
Bronze,2024-07-08,Muzala SAMUKONGA,H,Athletics,Men's 400m,Zambia,ZAM,1
Gold,2024-04-08,Francisca CROVETTO CHADID,F,Shooting,Skeet Women,Chile,CHI,3
Bronze,2024-07-27,KIM Woomin,H,Swimming,Men's 400m Freestyle,Korea,KOR,1
Bronze,2024-09-08,PUPP/FOJT,F,Canoe Sprint,Women's Kayak Double 500m,Hungary,HUN,1
Bronze,2024-07-29,Japan,Équipe,Equestrian,Eventing Team,Japan,JPN,1
Bronze,2024-02-08,France,Équipe,Equestrian,Jumping Team,France,FRA,1
Gold,2024-03-08,EBDEN/PEERS,H,Tennis,Men's Doubles,Australia,AUS,3
Gold,2024-05-08,Germany,Mixte,Triathlon,Mixed Relay,Germany,GER,3
Bronze,2024-08-08,Luis Alberto ORTA SANCHEZ,H,Wrestling,Men's Greco-Roman 67kg,Cuba,CUB,1
Silver,2024-10-08,Svetlana OSIPOVA,F,Taekwondo,Women +67kg,Uzbekistan,UZB,2
Silver,2024-07-29,Adam BURGESS,H,Canoe Slalom,Men's Canoe Single,Great Britain,GBR,2
Bronze,2024-09-08,671,F,Breaking,B-Girls,China,CHN,1
Gold,2024-07-28,XIE Yu,H,Shooting,10m Air Pistol Men,China,CHN,3
Gold,2024-08-08,LUO Shifang,F,Weightlifting,Women's 59kg,China,CHN,3
Gold,2024-01-08,YANG Jiayu,F,Athletics,Women's 20km Race Walk,China,CHN,3
Gold,2024-10-08,KITAGUCHI Haruka,F,Athletics,Women's Javelin Throw,Japan,JPN,3
Silver,2024-03-08,Nariman KURBANOV,H,Artistic Gymnastics,Men's Pommel Horse,Kazakhstan,KAZ,2
Silver,2024-01-08,Regan SMITH,F,Swimming,Women's 200m Butterfly,United States,USA,2
Gold,2024-10-08,MOTOKI Sakura,F,Wrestling,Women's Freestyle 62kg,Japan,JPN,3
Silver,2024-02-08,Sagen MADDALENA,F,Shooting,50m Rifle 3 Positions Women,United States,USA,2
Bronze,2024-04-08,Fred KERLEY,H,Athletics,Men's 100m,United States,USA,1
Bronze,2024-04-08,Eleftherios PETROUNIAS,H,Artistic Gymnastics,Men's Rings,Greece,GRE,1
Bronze,2024-03-08,Jasmine MOORE,F,Athletics,Women's Triple Jump,United States,USA,1
Bronze,2024-08-08,Skylar PARK,F,Taekwondo,Women -57kg,Canada,CAN,1
Bronze,2024-07-31,Ilya KHARUN,H,Swimming,Men's 200m Butterfly,Canada,CAN,1
Gold,2024-09-08,Harrie LAVREYSEN,H,Cycling Track,Men's Sprint,Netherlands,NED,3
Bronze,2024-07-29,Laura COLLETT,Équipe,Equestrian,Eventing Individual,Great Britain,GBR,1
Silver,2024-09-08,Loren Berto ALFONSO DOMINGUEZ,H,Boxing,Men's 92kg,Azerbaijan,AZE,2
Gold,2024-06-08,Camryn ROGERS,F,Athletics,Women's Hammer Throw,Canada,CAN,3
Bronze,2024-04-08,PANG Cholmi,F,Boxing,Women's 54kg,DPR Korea,PRK,1
Silver,2024-07-29,France,H,Archery,Men's Team,France,FRA,2
Bronze,2024-02-08,United States,Mixte,Archery,Mixed Team,United States,USA,1
Silver,2024-01-08,Italy,F,Fencing,Women's Foil Team,Italy,ITA,2
Gold,2024-04-08,United States,F,Swimming,Women's 4 x 100m Medley Relay,United States,USA,3
Silver,2024-10-08,Japan,F,Table Tennis,Women's Team,Japan,JPN,2
Bronze,2024-04-08,Lasha GURULI,H,Boxing,Men's 63.5kg,Georgia,GEO,1
Bronze,2024-07-28,Paolo MONNA,H,Shooting,10m Air Pistol Men,Italy,ITA,1
Gold,2024-05-08,Armand DUPLANTIS,H,Athletics,Men's Pole Vault,Sweden,SWE,3
Bronze,2024-11-08,Milaimy de la Carid. MARIN POTRILLE,F,Wrestling,Women's Freestyle 76kg,Cuba,CUB,1
Bronze,2024-03-08,WU Shih Yi,F,Boxing,Women's 60kg,Chinese Taipei,TPE,1
Bronze,2024-07-28,Amandine BUCHARD,F,Judo,Women -52 kg,France,FRA,1
Bronze,2024-07-31,Natalya DIEHM,F,Cycling BMX Freestyle,Women's Park,Australia,AUS,1
Gold,2024-07-27,Grace BROWN,F,Cycling Road,Women's Individual Time Trial,Australia,AUS,3
Gold,2024-05-08,Noemie FOX,F,Canoe Slalom,Women's Kayak Cross,Australia,AUS,3
Bronze,2024-04-08,MATSUYAMA Hideki,H,Golf,Men's Individual Stroke Play,Japan,JPN,1
Gold,2024-06-08,Gabrielle THOMAS,F,Athletics,Women's 200m,United States,USA,3
Bronze,2024-08-08,Femke BOL,F,Athletics,Women's 400m Hurdles,Netherlands,NED,1
Bronze,2024-07-08,COWLEY R/MONTAG J,Mixte,Athletics,Marathon Race Walk Relay Mixed,Australia,AUS,1
Bronze,2024-09-08,Netherlands,F,Cycling Track,Women's Madison,Netherlands,NED,1
Silver,2024-03-08,SUN Yingsha,F,Table Tennis,Women's Singles,China,CHN,2
Gold,2024-07-27,Remco EVENEPOEL,H,Cycling Road,Men's Individual Time Trial,Belgium,BEL,3
Gold,2024-07-08,PARK Taejoon,H,Taekwondo,Men -58kg,Korea,KOR,3
Gold,2024-10-08,Emmanuel WANYONYI,H,Athletics,Men's 800m,Kenya,KEN,3
Gold,2024-09-08,Beatrice CHEBET,F,Athletics,"Women's 10,000m",Kenya,KEN,3
Silver,2024-07-30,QI Ying,H,Shooting,Trap Men,China,CHN,2
Gold,2024-09-08,Olivia REEVES,F,Weightlifting,Women's 71kg,United States,USA,3
Silver,2024-07-28,Nic FINK,H,Swimming,Men's 100m Breaststroke,United States,USA,2
Bronze,2024-07-08,SUSAKI Yui,F,Wrestling,Women's Freestyle 50kg,Japan,JPN,1
Gold,2024-07-28,Jessica FOX,F,Canoe Slalom,Women's Kayak Single,Australia,AUS,3
Bronze,2024-07-08,Stefano PESCHIERA,H,Sailing,Men's Dinghy,Peru,PER,1
Gold,2024-07-30,Kaylee McKEOWN,F,Swimming,Women's 100m Backstroke,Australia,AUS,3
Silver,2024-09-08,Great Britain,F,Athletics,Women's 4 x 100m Relay,Great Britain,GBR,2
Gold,2024-11-08,United States,F,Basketball,Women,United States,USA,3
Gold,2024-09-08,XU/SUN,F,Canoe Sprint,Women's Canoe Double 500m,China,CHN,3
Gold,2024-10-08,Portugal,H,Cycling Track,Men's Madison,Portugal,POR,3
Bronze,2024-02-08,Czechia,H,Fencing,Men's Épée Team,Czechia,CZE,1
Gold,2024-02-08,Hungary,H,Fencing,Men's Épée Team,Hungary,HUN,3
Bronze,2024-01-08,New Zealand,F,Rowing,Women's Four,New Zealand,NZL,1
Silver,2024-08-08,MAJDALANI/BOSCO,Mixte,Sailing,Mixed Multihull,Argentina,ARG,2
Gold,2024-07-30,Great Britain,H,Swimming,Men's 4 x 200m Freestyle Relay,Great Britain,GBR,3
Silver,2024-07-30,United States,H,Swimming,Men's 4 x 200m Freestyle Relay,United States,USA,2
Silver,2024-01-08,United States,F,Swimming,Women's 4 x 200m Freestyle Relay,United States,USA,2
Bronze,2024-10-08,Korea,F,Table Tennis,Women's Team,Korea,KOR,1
Gold,2024-11-08,Italy,F,Volleyball,Women,Italy,ITA,3
Bronze,2024-09-08,Edi HRNIC,H,Taekwondo,Men -80kg,Denmark,DEN,1
Silver,2024-04-08,Artur DAVTYAN,H,Artistic Gymnastics,Men's Vault,Armenia,ARM,2
Gold,2024-07-31,Jose TORRES GIL,H,Cycling BMX Freestyle,Men's Park,Argentina,ARG,3
Gold,2024-07-31,DENG Yawen,F,Cycling BMX Freestyle,Women's Park,China,CHN,3
Silver,2024-04-08,Tommy FLEETWOOD,H,Golf,Men's Individual Stroke Play,Great Britain,GBR,2
Gold,2024-05-08,Keely HODGKINSON,F,Athletics,Women's 800m,Great Britain,GBR,3
Bronze,2024-02-08,Kylie MASSE,F,Swimming,Women's 200m Backstroke,Canada,CAN,1
Gold,2024-04-08,Ethan KATZBERG,H,Athletics,Men's Hammer Throw,Canada,CAN,3
Bronze,2024-07-08,Alysha NEWMAN,F,Athletics,Women's Pole Vault,Canada,CAN,1
Silver,2024-07-29,Great Britain,H,Diving,Men's Synchronised 10m Platform,Great Britain,GBR,2
Silver,2024-10-08,Brazil,F,Football,Women,Brazil,BRA,2
Silver,2024-07-30,Italy,F,Artistic Gymnastics,Women's Team,Italy,ITA,2
Bronze,2024-10-08,Italy,F,Rhythmic Gymnastics,Group All-Around,Italy,ITA,1
Silver,2024-05-08,United States 1,Mixte,Shooting,Skeet Mixed Team,United States,USA,2
Bronze,2024-04-08,BUCSA/SORRIBES TORMO,F,Tennis,Women's Doubles,Spain,ESP,1
Bronze,2024-05-08,Great Britain,Mixte,Triathlon,Mixed Relay,Great Britain,GBR,1
Silver,2024-06-08,Josh KERR,H,Athletics,Men's 1500m,Great Britain,GBR,2
Bronze,2024-07-28,Gusman KYRGYZBAYEV,H,Judo,Men -66 kg,Kazakhstan,KAZ,1
Gold,2024-10-08,Lydia KO,F,Golf,Women's Individual Stroke Play,New Zealand,NZL,3
Silver,2024-07-29,Christopher BURTON,Équipe,Equestrian,Eventing Individual,Australia,AUS,2
Bronze,2024-01-08,Patricia SAMPAIO,F,Judo,Women -78 kg,Portugal,POR,1
Bronze,2024-04-08,Arlen LOPEZ CARDONA,H,Boxing,Men's 80kg,Cuba,CUB,1
Bronze,2024-03-08,Lorenzo MUSETTI,H,Tennis,Men's Singles,Italy,ITA,1
Silver,2024-10-08,Adam VARGA,H,Canoe Sprint,Men's Kayak Single 1000m,Hungary,HUN,2
Gold,2024-06-08,Mijain LOPEZ NUNEZ,H,Wrestling,Men's Greco-Roman 130kg,Cuba,CUB,3
Silver,2024-05-08,Angele HUG,F,Canoe Slalom,Women's Kayak Cross,France,FRA,2
Bronze,2024-06-08,CHEN Nien Chin,F,Boxing,Women's 66kg,Chinese Taipei,TPE,1
Bronze,2024-07-27,Shirine BOUKLI,F,Judo,Women -48 kg,France,FRA,1
Bronze,2024-02-08,Romain MAHIEU,H,Cycling BMX Racing,Men,France,FRA,1
Silver,2024-05-08,Joseph CLARKE,H,Canoe Slalom,Men's Kayak Cross,Great Britain,GBR,2
Gold,2024-03-08,LIM Sihyeon,F,Archery,Women's Individual,Korea,KOR,3
Gold,2024-04-08,FAN Zhendong,H,Table Tennis,Men's Singles,China,CHN,3
Bronze,2024-07-29,HAUGHEY Siobhan Bernadette,F,Swimming,Women's 200m Freestyle,"Hong Kong, China",HKG,1
Gold,2024-01-08,Alice BELLANDI,F,Judo,Women -78 kg,Italy,ITA,3
Gold,2024-10-08,Hamish KERR,H,Athletics,Men's High Jump,New Zealand,NZL,3
Gold,2024-09-08,WU Yu,F,Boxing,Women's 50kg,China,CHN,3
Gold,2024-07-08,KUSAKA Nao,H,Wrestling,Men's Greco-Roman 77kg,Japan,JPN,3
Bronze,2024-04-08,Cristian Javier PINALES,H,Boxing,Men's 80kg,Dominican Republic,DOM,1
Bronze,2024-04-08,ZHANG Yufei,F,Swimming,Women's 50m Freestyle,China,CHN,1
Silver,2024-08-08,Kenneth BEDNAREK,H,Athletics,Men's 200m,United States,USA,2
Silver,2024-03-08,Joe KOVACS,H,Athletics,Men's Shot Put,United States,USA,2
Silver,2024-08-08,Hetty van de WOUW,F,Cycling Track,Women's Keirin,Netherlands,NED,2
Gold,2024-01-08,Zelym KOTSOIEV,H,Judo,Men -100 kg,Azerbaijan,AZE,3
Gold,2024-09-08,Canada,H,Athletics,Men's 4 x 100m Relay,Canada,CAN,3
Gold,2024-09-08,United States,F,Athletics,Women's 4 x 100m Relay,United States,USA,3
Silver,2024-04-08,LIANG/WANG,H,Badminton,Men's Doubles,China,CHN,2
Bronze,2024-08-08,Morocco,H,Football,Men,Morocco,MAR,1
Bronze,2024-07-31,Michaela POLLERES,F,Judo,Women -70 kg,Austria,AUT,1
Bronze,2024-10-08,Yauheni TSIKHANTSOU,H,Weightlifting,Men's 102kg,AIN,AIN,1
Bronze,2024-03-08,LEE Meng Yuan,H,Shooting,Skeet Men,Chinese Taipei,TPE,1
Bronze,2024-10-08,Taha AKGUL,H,Wrestling,Men's Freestyle 125kg,Türkiye,TUR,1
Gold,2024-09-08,Martin FUKSA,H,Canoe Sprint,Men's Canoe Single 1000m,Czechia,CZE,3
Silver,2024-03-08,Camille JEDRZEJEWSKI,F,Shooting,25m Pistol Women,France,FRA,2
Bronze,2024-07-31,Anthony JEANJEAN,H,Cycling BMX Freestyle,Men's Park,France,FRA,1
Silver,2024-03-08,Valentin MADOUAS,H,Cycling Road,Men's Road Race,France,FRA,2
Bronze,2024-07-08,Nelvie Raman TIAFACK,H,Boxing,Men's +92kg,Germany,GER,1
Bronze,2024-03-08,Emma WILSON,F,Sailing,Women's Windsurfing,Great Britain,GBR,1
Silver,2024-03-08,NAM Suhyeon,F,Archery,Women's Individual,Korea,KOR,2
Gold,2024-03-08,Oliver ZEIDLER,H,Rowing,Men's Single Sculls,Germany,GER,3
Bronze,2024-06-08,Faith CHEROTICH,F,Athletics,Women's 3000m Steeplechase,Kenya,KEN,1
Gold,2024-04-08,Jessica von BREDOW-WERNDL,Équipe,Equestrian,Dressage Individual,Germany,GER,3
Silver,2024-02-08,WANG Zisai,H,Trampoline Gymnastics,Men,China,CHN,2
Silver,2024-07-31,ZHANG Boheng,H,Artistic Gymnastics,Men's All-Around,China,CHN,2
Silver,2024-05-08,FENG Bin,F,Athletics,Women's Discus Throw,China,CHN,2
Gold,2024-09-08,Yemisi OGUNLEYE,F,Athletics,Women's Shot Put,Germany,GER,3
Gold,2024-06-08,Winfred YAVI,F,Athletics,Women's 3000m Steeplechase,Bahrain,BRN,3
Silver,2024-09-08,Maddison-Lee WESCHE,F,Athletics,Women's Shot Put,New Zealand,NZL,2
Bronze,2024-09-08,Kristina TEACHOUT,F,Taekwondo,Women -67kg,United States,USA,1
Gold,2024-07-27,Yeldos SMETOV,H,Judo,Men -60 kg,Kazakhstan,KAZ,3
Bronze,2024-07-29,Ryan MURPHY,H,Swimming,Men's 100m Backstroke,United States,USA,1
Gold,2024-11-08,Michelle GULYAS,F,Modern Pentathlon,Women's Individual,Hungary,HUN,3
Gold,2024-06-08,FUMITA Kenichiro,H,Wrestling,Men's Greco-Roman 60kg,Japan,JPN,3
Gold,2024-02-08,Saya SAKAKIBARA,F,Cycling BMX Racing,Women,Australia,AUS,3
Gold,2024-08-08,Veddriq LEONARDO,H,Sport Climbing,Men's Speed,Indonesia,INA,3
Silver,2024-03-08,Ariarne TITMUS,F,Swimming,Women's 800m Freestyle,Australia,AUS,2
Gold,2024-07-08,Sarah Ann HILDEBRANDT,F,Wrestling,Women's Freestyle 50kg,United States,USA,3
Gold,2024-10-08,Masai RUSSELL,F,Athletics,Women's 100m Hurdles,United States,USA,3
Bronze,2024-07-31,Penny SMITH,F,Shooting,Trap Women,Australia,AUS,1
Gold,2024-07-29,Hidayat HEYDAROV,H,Judo,Men -73 kg,Azerbaijan,AZE,3
Bronze,2024-07-29,Audrey GOGNIAT,F,Shooting,10m Air Rifle Women,Switzerland,SUI,1
Bronze,2024-07-08,Nesthy PETECIO,F,Boxing,Women's 57kg,Philippines,PHI,1
Bronze,2024-11-08,Magomedkhan MAGOMEDOV,H,Wrestling,Men's Freestyle 97kg,Azerbaijan,AZE,1
Gold,2024-10-08,United States,H,Basketball,Men,United States,USA,3
Gold,2024-07-29,China,H,Diving,Men's Synchronised 10m Platform,China,CHN,3
Bronze,2024-03-08,Great Britain,Équipe,Equestrian,Dressage Team,Great Britain,GBR,1
Silver,2024-10-08,Israel,F,Rhythmic Gymnastics,Group All-Around,Israel,ISR,2
Silver,2024-02-08,BOBECK/NETZLER,F,Sailing,Women's Skiff,Sweden,SWE,2
Gold,2024-07-30,Serbia,Mixte,Shooting,10m Air Pistol Mixed Team,Serbia,SRB,3
Silver,2024-07-08,United States,Équipe,Artistic Swimming,Team,United States,USA,2
Bronze,2024-09-08,France,H,Table Tennis,Men's Team,France,FRA,1
Silver,2024-11-08,Croatia,H,Water Polo,Men,Croatia,CRO,2
Gold,2024-10-08,Spain,F,Water Polo,Women,Spain,ESP,3
Gold,2024-08-08,Germany,H,Canoe Sprint,Men's Kayak Four 500m,Germany,GER,3
Bronze,2024-02-08,Great Britain,H,Diving,Men's Synchronised 3m Springboard,Great Britain,GBR,1
Bronze,2024-07-31,Great Britain,F,Diving,Women's Synchronised 10m Platform,Great Britain,GBR,1
Bronze,2024-07-27,Great Britain,F,Diving,Women's Synchronised 3m Springboard,Great Britain,GBR,1
Gold,2024-07-29,Great Britain,Équipe,Equestrian,Eventing Team,Great Britain,GBR,3
Silver,2024-04-08,Italy,H,Fencing,Men's Foil Team,Italy,ITA,2
Bronze,2024-07-30,Poland,F,Fencing,Women's Épée Team,Poland,POL,1
Gold,2024-08-08,Netherlands,H,Hockey,Men,Netherlands,NED,3
Gold,2024-01-08,Romania,H,Rowing,Men's Double Sculls,Romania,ROU,3
Gold,2024-03-08,Romania,F,Rowing,Women's Eight,Romania,ROU,3
Bronze,2024-07-27,South Africa,H,Rugby Sevens,Men,South Africa,RSA,1
Silver,2024-08-08,OKADA/YOSHIOKA,Mixte,Sailing,Mixed Dinghy,Japan,JPN,2
Gold,2024-08-08,TITA/BANTI,Mixte,Sailing,Mixed Multihull,Italy,ITA,3
Gold,2024-03-08,United States,Mixte,Swimming,Mixed 4 x 100m Medley Relay,United States,USA,3
Bronze,2024-10-08,Netherlands,F,Water Polo,Women,Netherlands,NED,1
Bronze,2024-07-29,FUNAKUBO Haruka,F,Judo,Women -57 kg,Japan,JPN,1
Bronze,2024-01-08,Jemima MONTAG,F,Athletics,Women's 20km Race Walk,Australia,AUS,1
Gold,2024-11-08,Jennifer VALENTE,F,Cycling Track,Women's Omnium,United States,USA,3
Bronze,2024-08-08,Edival PONTES,H,Taekwondo,Men -68kg,Brazil,BRA,1
Bronze,2024-07-30,Jean Pierre BROL CARDENAS,H,Shooting,Trap Men,Guatemala,GUA,1
Bronze,2024-10-08,Denmark,H,Cycling Track,Men's Madison,Denmark,DEN,1
Gold,2024-02-08,Joris DAUDET,H,Cycling BMX Racing,Men,France,FRA,3
Gold,2024-07-28,Pauline FERRAND PREVOT,F,Cycling Mountain Bike,Women's Cross-country,France,FRA,3
Bronze,2024-05-08,Kimberley WOODS,F,Canoe Slalom,Women's Kayak Cross,Great Britain,GBR,1
Bronze,2024-10-08,Benson KIPRUTO,H,Athletics,Men's Marathon,Kenya,KEN,1
Bronze,2024-06-08,Lewis RICHARDSON,H,Boxing,Men's 71kg,Great Britain,GBR,1
Silver,2024-08-08,Iuri LEITAO,H,Cycling Track,Men's Omnium,Portugal,POR,2
Gold,2024-11-08,KIYOOKA Kotaro,H,Wrestling,Men's Freestyle 65kg,Japan,JPN,3
Silver,2024-03-08,Rebeca ANDRADE,F,Artistic Gymnastics,Women's Vault,Brazil,BRA,2
Bronze,2024-08-08,Spain,H,Canoe Sprint,Men's Kayak Four 500m,Spain,ESP,1
Gold,2024-07-30,New Zealand,F,Rugby Sevens,Women,New Zealand,NZL,3
Silver,2024-09-08,Sweden,H,Table Tennis,Men's Team,Sweden,SWE,2
Silver,2024-10-08,Sara AHMED,F,Weightlifting,Women's 81kg,Egypt,EGY,2
Bronze,2024-08-08,KUO Hsing-Chun,F,Weightlifting,Women's 59kg,Chinese Taipei,TPE,1
Silver,2024-07-29,Matthew RICHARDS,H,Swimming,Men's 200m Freestyle,Great Britain,GBR,2
Silver,2024-07-31,Anastasiia KIRPICHNIKOVA,F,Swimming,Women's 1500m Freestyle,France,FRA,2
Gold,2024-03-08,Vincent HANCOCK,H,Shooting,Skeet Men,United States,USA,3
Bronze,2024-11-08,Ally WOLLASTON,F,Cycling Track,Women's Omnium,New Zealand,NZL,1
Bronze,2024-07-08,Mohamed Khalil JENDOUBI,H,Taekwondo,Men -58kg,Tunisia,TUN,1
Bronze,2024-02-08,Sophiane METHOT,F,Trampoline Gymnastics,Women,Canada,CAN,1
Bronze,2024-07-31,France,H,Fencing,Men's Sabre Team,France,FRA,1
Bronze,2024-01-08,Japan,F,Fencing,Women's Foil Team,Japan,JPN,1
Silver,2024-03-08,Korea,F,Fencing,Women's Sabre Team,Korea,KOR,2
Gold,2024-11-08,Denmark,H,Handball,Men,Denmark,DEN,3
Gold,2024-01-08,New Zealand,F,Rowing,Women's Double Sculls,New Zealand,NZL,3
Gold,2024-04-08,China,H,Swimming,Men's 4 x 100m Medley Relay,China,CHN,3
Silver,2024-03-08,China,Mixte,Swimming,Mixed 4 x 100m Medley Relay,China,CHN,2
Gold,2024-04-08,ERRANI/PAOLINI,F,Tennis,Women's Doubles,Italy,ITA,3
Bronze,2024-09-08,United States,H,Volleyball,Men,United States,USA,1
Gold,2024-07-08,Aleksandra MIROSLAW,F,Sport Climbing,Women's Speed,Poland,POL,3
Gold,2024-05-08,Viktor AXELSEN,H,Badminton,Men's Singles,Denmark,DEN,3
Bronze,2024-10-08,Gor MINASYAN,H,Weightlifting,Men's +102kg,Bahrain,BRN,1
Silver,2024-11-08,Rahman AMOUZADKHALILI,H,Wrestling,Men's Freestyle 65kg,IR Iran,IRI,2
Silver,2024-08-08,Billal BENNAMA,H,Boxing,Men's 51kg,France,FRA,2
Bronze,2024-01-08,MA Zhenzhao,F,Judo,Women -78 kg,China,CHN,1
